Id,SalePrice
1461,[42708.176]
1462,[84206.33]
1463,[173768.17]
1464,[90514.49]
1465,[83903.56]
1466,[209264.89]
1467,[293608.94]
1468,[90769.67]
1469,[13846.973]
1470,[109531.836]
1471,[10399.199]
1472,[81113.92]
1473,[145846.55]
1474,[26451.3]
1475,[10640.562]
1476,[149568.84]
1477,[126688.78]
1478,[110101.35]
1479,[177797.22]
1480,[566920.5]
1481,[175128.22]
1482,[212663.73]
1483,[129816.74]
1484,[72514.14]
1485,[143413.8]
1486,[122389.625]
1487,[374217.7]
1488,[169196.89]
1489,[103697.32]
1490,[147075.55]
1491,[108602.055]
1492,[43123.504]
1493,[47238.22]
1494,[875738.8]
1495,[203132.72]
1496,[115145.04]
1497,[339743.66]
1498,[33431.68]
1499,[79407.695]
1500,[192448.23]
1501,[144768.16]
1502,[251266.62]
1503,[614.54297]
1504,[218930.33]
1505,[152970.84]
1506,[305985.]
1507,[162272.02]
1508,[121439.73]
1509,[82644.836]
1510,[97739.29]
1511,[11298.962]
1512,[85317.07]
1513,[12969.256]
1514,[54376.453]
1515,[39590.094]
1516,[256266.16]
1517,[14875.878]
1518,[81967.75]
1519,[118707.72]
1520,[91245.02]
1521,[75011.89]
1522,[209606.62]
1523,[75710.1]
1524,[65713.62]
1525,[193928.97]
1526,[68225.21]
1527,[63356.688]
1528,[221761.69]
1529,[76397.98]
1530,[63678.46]
1531,[43404.152]
1532,[8504.772]
1533,[85158.23]
1534,[113805.73]
1535,[69964.86]
1536,[151926.53]
1537,[20731.889]
1538,[166712.95]
1539,[60375.17]
1540,[132564.5]
1541,[37456.418]
1542,[18291.188]
1543,[24321.207]
1544,[208820.31]
1545,[58928.117]
1546,[84457.82]
1547,[200401.55]
1548,[182776.3]
1549,[73395.58]
1550,[220148.42]
1551,[7960.7524]
1552,[49254.32]
1553,[15312.533]
1554,[61144.32]
1555,[146216.58]
1556,[185340.08]
1557,[12044.969]
1558,[42589.57]
1559,[20604.459]
1560,[575113.4]
1561,[1984.2723]
1562,[114848.93]
1563,[85814.266]
1564,[98849.164]
1565,[178294.55]
1566,[1044256.94]
1567,[12183.93]
1568,[572813.8]
1569,[60868.78]
1570,[68231.195]
1571,[325947.44]
1572,[79673.945]
1573,[125209.47]
1574,[17510.225]
1575,[1316964.9]
1576,[31789.941]
1577,[169440.08]
1578,[40657.24]
1579,[104662.93]
1580,[111636.25]
1581,[23224.506]
1582,[56329.81]
1583,[295461.1]
1584,[144418.17]
1585,[96993.29]
1586,[45773.72]
1587,[7616.9355]
1588,[132519.38]
1589,[100699.06]
1590,[98993.6]
1591,[73102.67]
1592,[11292.153]
1593,[58104.5]
1594,[14944.401]
1595,[21851.324]
1596,[46839.594]
1597,[77495.38]
1598,[129526.01]
1599,[8249.289]
1600,[5865.179]
1601,[508695.8]
1602,[137409.78]
1603,[2601.6052]
1604,[203499.77]
1605,[109028.57]
1606,[122038.22]
1607,[9316.92]
1608,[186039.22]
1609,[56693.32]
1610,[66979.93]
1611,[151967.11]
1612,[38318.242]
1613,[88466.64]
1614,[25512.36]
1615,[37017.777]
1616,[17502.578]
1617,[115543.91]
1618,[18865.873]
1619,[285510.1]
1620,[942.4219]
1621,[39380.35]
1622,[133002.9]
1623,[492430.25]
1624,[91800.23]
1625,[25840.135]
1626,[321426.1]
1627,[271607.3]
1628,[188777.25]
1629,[106142.36]
1630,[396191.22]
1631,[61870.027]
1632,[161978.1]
1633,[144797.42]
1634,[114256.82]
1635,[133445.05]
1636,[51959.91]
1637,[36928.992]
1638,[70758.53]
1639,[142452.94]
1640,[42605.902]
1641,[189225.89]
1642,[270544.8]
1643,[231226.8]
1644,[234488.06]
1645,[375552.3]
1646,[318888.84]
1647,[145139.47]
1648,[44836.902]
1649,[137052.75]
1650,[108544.8]
1651,[144149.03]
1652,[89023.62]
1653,[66149.86]
1654,[38325.37]
1655,[6451.0205]
1656,[25685.521]
1657,[22865.88]
1658,[10379.987]
1659,[7436.191]
1660,[89926.15]
1661,[205249.83]
1662,[145896.9]
1663,[276319.25]
1664,[3063.862]
1665,[195609.22]
1666,[111819.836]
1667,[927025.7]
1668,[327213.47]
1669,[458029.53]
1670,[120871.836]
1671,[148561.8]
1672,[410771.25]
1673,[259496.72]
1674,[217355.08]
1675,[105110.555]
1676,[189785.6]
1677,[196130.75]
1678,[752932.3]
1679,[359981.88]
1680,[240961.2]
1681,[137259.16]
1682,[198589.58]
1683,[101873.53]
1684,[112666.23]
1685,[95609.01]
1686,[135886.64]
1687,[86932.2]
1688,[98736.484]
1689,[158331.53]
1690,[159357.1]
1691,[152689.39]
1692,[150675.53]
1693,[81897.664]
1694,[149999.95]
1695,[95084.26]
1696,[353787.62]
1697,[70186.06]
1698,[272985.97]
1699,[357417.28]
1700,[214191.5]
1701,[160340.5]
1702,[51464.723]
1703,[55571.86]
1704,[308864.03]
1705,[160251.98]
1706,[54746.938]
1707,[140753.84]
1708,[104355.76]
1709,[170289.25]
1710,[204039.81]
1711,[251034.06]
1712,[175516.62]
1713,[180128.73]
1714,[77665.11]
1715,[137853.03]
1716,[85485.01]
1717,[130872.47]
1718,[28171.635]
1719,[91291.16]
1720,[220082.1]
1721,[69463.37]
1722,[28405.154]
1723,[55764.625]
1724,[159820.83]
1725,[276308.7]
