Id,SalePrice
1461,116592.77542523007
1462,154819.19371859008
1463,183483.89457113904
1464,205217.2092959325
1465,191461.8606900124
1466,174084.35108587265
1467,186343.2940286196
1468,164444.22859368275
1469,199181.1451471974
1470,115881.84374295665
1471,196413.65627822853
1472,101503.89667541166
1473,95463.01157392663
1474,146912.81515886166
1475,110946.385311837
1476,348002.4984370322
1477,241955.29598988304
1478,291030.50641667057
1479,291873.1727622626
1480,468469.4104050177
1481,319874.7981806345
1482,209458.81580171888
1483,177469.7214135693
1484,160594.43143409074
1485,194964.67418394776
1486,199108.55471736626
1487,319724.7234145667
1488,243308.98753816666
1489,193086.0596807665
1490,232133.87508434834
1491,198443.18897445526
1492,90466.13148765938
1493,196466.3416712846
1494,291357.2839831749
1495,289178.93955840875
1496,236349.19767567157
1497,178922.62968477476
1498,169524.67516793034
1499,166014.2413195862
1500,158315.45982684343
1501,170864.28581517792
1502,146136.8986458758
1503,295958.6942419857
1504,245635.80889497622
1505,229258.52665823358
1506,190773.44563170854
1507,246851.27883564102
1508,210393.10371351155
1509,164858.00901391593
1510,145214.70175393263
1511,145323.33431350184
1512,176006.49316967672
1513,154646.65805980813
1514,152728.75902563083
1515,191666.55235646942
1516,159791.93776312782
1517,174546.30000999605
1518,128600.17666245328
1519,213620.51747684905
1520,125008.78873239434
1521,130019.6558124575
1522,176575.19888036506
1523,109366.0109414562
1524,126201.85643504179
1525,122159.00629746655
1526,110126.2823501598
1527,107128.76539029772
1528,146969.32304183798
1529,147570.0991394689
1530,192856.43961062346
1531,103316.5222383619
1532,97064.87738252462
1533,148666.3797611521
1534,124061.15014589115
1535,151271.16973085748
1536,111282.34637276953
1537,60241.75952574492
1538,152970.28457144636
1539,194033.65462338156
1540,95783.11257404543
1541,138843.7538704653
1542,135978.91424113043
1543,180857.46031062226
1544,86222.9126125037
1545,120470.32195805258
1546,137881.8546433264
1547,123656.78943820349
1548,140363.78385219368
1549,123002.00306984028
1550,135095.42284214523
1551,108713.06319391336
1552,134856.82865017198
1553,143017.11231714455
1554,122389.74675884463
1555,154507.24475496897
1556,87645.27060512047
1557,105123.19361927992
1558,102615.20104650815
1559,60442.750317811966
1560,140484.82026234322
1561,124979.02278085217
1562,130953.4114238757
1563,117859.5693422466
1564,149581.44019010282
1565,146614.7413714821
1566,245678.23596871528
1567,74611.58240033101
1568,228845.8533999113
1569,121232.27726936269
1570,144024.87694978502
1571,122117.87009582577
1572,143383.53846088596
1573,235668.7822468428
1574,121908.57178529569
1575,221356.35419954744
1576,260577.017260153
1577,178130.9626343282
1578,148163.97806485134
1579,138008.7212460295
1580,198196.9750730304
1581,162579.39407782888
1582,124363.48504639576
1583,295326.92233670293
1584,217360.06702668895
1585,135335.57152891444
1586,63804.77772381532
1587,102208.5472094756
1588,152770.99920360296
1589,95942.7058813694
1590,135571.95665600974
1591,90010.4831441137
1592,116024.4965395407
1593,122027.37250756897
1594,123921.70584212174
1595,102578.55259534603
1596,220284.1474658385
1597,193299.45916277802
1598,227283.54008959112
1599,171246.4695682097
1600,159915.66425563063
1601,62981.2577167966
1602,117361.29801862797
1603,73334.1913604446
1604,260064.9433375403
1605,246158.09049071948
1606,177073.834025496
1607,177219.77834238857
1608,215323.02943763163
1609,181740.11610182503
1610,152789.57267030532
1611,139277.5559429962
1612,170626.2756824337
1613,169551.5925407711
1614,125101.61887480371
1615,96597.39769867332
1616,79708.94526676185
1617,96132.84528556009
1618,123384.1903153891
1619,144183.63343085715
1620,151561.74460568008
1621,141302.82338543705
1622,144864.17105313603
1623,263831.1369952311
1624,217076.3369974968
1625,118033.0805517687
1626,176337.2951405211
1627,193547.16638559668
1628,285141.9181458639
1629,180880.4313090337
1630,340915.95730132214
1631,225704.46857884977
1632,236495.56072998865
1633,179400.14454120075
1634,186555.59398595922
1635,175677.649972903
1636,154176.59958646633
1637,197967.17533876686
1638,183537.60739610987
1639,195490.24845483107
1640,253557.6468338803
1641,184186.2536261941
1642,240831.87306546632
1643,211413.78612270244
1644,237341.99990599582
1645,196247.4555772029
1646,165583.61208610266
1647,165647.44327129156
1648,126632.89648590307
1649,139752.6222531025
1650,112958.13354921245
1651,123487.01778696153
1652,99596.91103421836
1653,103900.50777507374
1654,140801.26752648645
1655,134467.51650375038
